日期,時段,指標,系統,1 福德一路/上匝道,西向,東向,2 福德一路/下匝道,下匝道,東向,3 福德一路/和成路,西向,東向(車尾),東向(路口4照車尾),4 福德一路/和平路,和平路南向,福德西向,和平路北向,和強路東向(車尾),5 八德轉運站出入口,西向,東向,6 和強路/120巷,東向,7 和強路/延平路,延平路南向,和強路西向,延平路北向,和強路東向,10 和平路/富榮街,和平路南向,和平路北向,14 大安小學,和平路東向,路徑1,路徑2,路徑3,路徑4,平均旅行時間,加權平均旅行時間,加權平均旅行時間_含邊界_先加,加權平均旅行時間_含邊界_後加,總加權旅行時間,延平路->和平路 (往東),和平路-> 上匝道前 (往東),上匝道前-> 上匝道後 (往東),東匝入口-> 下匝道後 (往西),下匝道後-> 和平路 (往西),和平路-> 延平路 (往西),和平路口左轉-> 和平路704巷,大安國小-> 和平/和強路口,大安國小-> 右轉和強路上匝道前 (往北)
2026-06-10,07:30~08:30,通過量,2634.0,687.0,61.0,626.0,1234.0,613.0,621.0,3994.0,1304.0,1421.0,1269.0,2855.0,274.0,1137.0,816.0,628.0,1009.0,554.0,455.0,464.0,464.0,1443.0,358.0,516.0,253.0,316.0,1362.0,603.0,759.0,828.0,828.0,0.0,0.0,4.6,7.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,07:30~08:30,平均停等延滯,219.8,34.5,33.2,34.7,21.2,15.7,26.6,31.1,29.7,19.6,45.4,67.5,103.9,69.6,51.2,68.9,41.2,0.6,90.7,86.5,86.5,72.6,113.1,14.3,59.0,132.6,11.8,3.2,18.6,11.8,11.8,-,-,F,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,07:00~09:00,總停等延滯,1099914.0,47370.0,3399.0,43971.0,47221.0,18957.0,28264.0,226614.0,66773.0,51293.0,108548.0,363851.0,55572.0,146998.0,81966.0,79315.0,82365.0,971.0,81394.0,80648.0,80648.0,206220.0,79832.0,15042.0,31442.0,79904.0,32598.0,5806.0,26792.0,13027.0,13027.0,nan,nan,699.4,442.8,-,-,-,-,-,-,323.5,192.6,195.4,315.8,-,126.9,284.1,219.2
2026-06-10,07:00~09:00,通過量,5567.0,1569.0,118.0,1451.0,2535.0,1183.0,1352.0,8775.0,2710.0,3281.0,2784.0,5946.0,649.0,2307.0,1613.0,1377.0,2180.0,1042.0,1138.0,1150.0,1150.0,3064.0,687.0,988.0,600.0,789.0,2765.0,1224.0,1541.0,1572.0,1572.0,0.0,0.0,5.2,7.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,07:00~09:00,平均停等延滯,197.6,30.2,28.8,30.3,18.6,16.0,20.9,25.8,24.6,15.6,39.0,61.2,85.6,63.7,50.8,57.6,37.8,0.9,71.5,70.1,70.1,67.3,116.2,15.2,52.4,101.3,11.8,4.7,17.4,8.3,8.3,-,-,F,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,10:00~12:00,總停等延滯,396650.0,13737.0,9495.0,4242.0,6932.0,3701.0,3231.0,39675.0,22544.0,5942.0,11189.0,189826.0,29014.0,74057.0,52208.0,34547.0,28040.0,1741.0,26299.0,15645.0,15645.0,72123.0,31829.0,16535.0,10958.0,12801.0,26684.0,10602.0,16082.0,3988.0,3988.0,nan,nan,238.1,190.9,-,-,-,-,-,-,109.5,21.5,33.6,86.5,-,104.4,176.7,39.9
2026-06-10,10:00~12:00,通過量,5813.0,1880.0,303.0,1577.0,3021.0,1485.0,1536.0,9150.0,3227.0,3059.0,2864.0,6588.0,521.0,2866.0,1751.0,1450.0,2835.0,1502.0,1333.0,1418.0,1418.0,3433.0,570.0,1497.0,327.0,1039.0,3204.0,1636.0,1568.0,1194.0,1194.0,0.0,0.0,15.2,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,10:00~12:00,平均停等延滯,68.2,7.3,31.3,2.7,2.3,2.5,2.1,4.3,7.0,1.9,3.9,28.8,55.7,25.8,29.8,23.8,9.9,1.2,19.7,11.0,11.0,21.0,55.8,11.0,33.5,12.3,8.3,6.5,10.3,3.3,3.3,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,11:00~12:00,總停等延滯,190310.0,7099.0,3626.0,3473.0,3473.0,1457.0,2016.0,19622.0,11740.0,2298.0,5584.0,92964.0,14024.0,40405.0,24758.0,13777.0,9263.0,1077.0,8186.0,4511.0,4511.0,36358.0,18350.0,7698.0,5993.0,4317.0,15340.0,6907.0,8433.0,1680.0,1680.0,nan,nan,195.0,224.7,-,-,-,-,-,-,64.6,24.0,33.5,93.1,-,131.6,129.5,41.4
2026-06-10,11:00~12:00,通過量,2942.0,919.0,150.0,769.0,1501.0,731.0,770.0,4513.0,1618.0,1484.0,1411.0,3210.0,269.0,1378.0,872.0,691.0,1417.0,779.0,638.0,658.0,658.0,1735.0,320.0,716.0,159.0,540.0,1613.0,840.0,773.0,581.0,581.0,0.0,0.0,18.6,14.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,11:00~12:00,平均停等延滯,64.7,7.7,24.2,4.5,2.3,2.0,2.6,4.3,7.3,1.5,4.0,29.0,52.1,29.3,28.4,19.9,6.5,1.4,12.8,6.9,6.9,21.0,57.3,10.8,37.7,8.0,9.5,8.2,10.9,2.9,2.9,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,12:00~14:00,總停等延滯,388734.0,15304.0,5645.0,9659.0,6624.0,2264.0,4360.0,39133.0,25273.0,4975.0,8885.0,202176.0,23579.0,91969.0,56578.0,30050.0,14223.0,1328.0,12895.0,10034.0,10034.0,68946.0,39501.0,12525.0,7753.0,9167.0,25678.0,6828.0,18850.0,6616.0,6616.0,nan,nan,243.3,245.7,-,-,-,-,-,-,67.8,23.7,36.2,97.6,-,148.1,155.7,63.9
2026-06-10,12:00~14:00,通過量,5921.0,1966.0,325.0,1641.0,3225.0,1553.0,1672.0,9272.0,3245.0,3126.0,2901.0,6788.0,462.0,3012.0,1870.0,1444.0,2722.0,1441.0,1281.0,1284.0,1284.0,3180.0,579.0,1364.0,228.0,1009.0,3445.0,1680.0,1765.0,1401.0,1401.0,0.0,0.0,14.9,13.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,12:00~14:00,平均停等延滯,65.7,7.8,17.4,5.9,2.1,1.5,2.6,4.2,7.8,1.6,3.1,29.8,51.0,30.5,30.3,20.8,5.2,0.9,10.1,7.8,7.8,21.7,68.2,9.2,34.0,9.1,7.5,4.1,10.7,4.7,4.7,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,16:30~18:30,總停等延滯,695481.0,13674.0,12277.0,1397.0,39809.0,37881.0,1928.0,83983.0,48498.0,9419.0,26066.0,298088.0,38941.0,149876.0,65766.0,43505.0,20711.0,1989.0,18722.0,14590.0,14590.0,181450.0,88549.0,60211.0,11128.0,21562.0,39634.0,16471.0,23163.0,3542.0,3542.0,nan,nan,265.9,227.6,-,-,-,-,-,-,99.7,18.3,49.1,107.1,-,120.5,213.1,34.4
